Record Length,2000,,Source,CH1
Sample Interval,CH1:0.0000000040000,,Second,Volt
,,,-0.00000283600,6.00000,
,,,-0.00000283200,6.00000,
,,,-0.00000282800,5.80000,
,,,-0.00000282400,6.00000,
,,,-0.00000282000,6.00000,
,,,-0.00000281600,6.00000,
,,,-0.00000281200,5.80000,
,,,-0.00000280800,5.80000,
,,,-0.00000280400,5.80000,
,,,-0.00000280000,6.00000,
,,,-0.00000279600,6.00000,
,,,-0.00000279200,5.80000,
,,,-0.00000278800,5.80000,
,,,-0.00000278400,6.00000,
,,,-0.00000278000,6.00000,
,,,-0.00000277600,5.80000,
,,,-0.00000277200,5.80000,
,,,-0.00000276800,5.60000,
,,,-0.00000276400,5.80000,
,,,-0.00000276000,5.80000,
,,,-0.00000275600,5.80000,
,,,-0.00000275200,5.80000,
,,,-0.00000274800,5.80000,
,,,-0.00000274400,5.80000,
,,,-0.00000274000,6.00000,
,,,-0.00000273600,6.00000,
,,,-0.00000273200,5.80000,
,,,-0.00000272800,5.80000,
,,,-0.00000272400,5.80000,
,,,-0.00000272000,6.00000,
,,,-0.00000271600,6.00000,
,,,-0.00000271200,5.80000,
,,,-0.00000270800,5.80000,
,,,-0.00000270400,5.80000,
,,,-0.00000270000,6.00000,
,,,-0.00000269600,6.00000,
,,,-0.00000269200,6.00000,
,,,-0.00000268800,5.80000,
,,,-0.00000268400,5.80000,
,,,-0.00000268000,6.00000,
,,,-0.00000267600,6.00000,
,,,-0.00000267200,6.00000,
,,,-0.00000266800,6.00000,
,,,-0.00000266400,6.00000,
,,,-0.00000266000,6.00000,
,,,-0.00000265600,6.00000,
,,,-0.00000265200,5.80000,
,,,-0.00000264800,5.80000,
,,,-0.00000264400,5.80000,
,,,-0.00000264000,6.00000,
,,,-0.00000263600,6.00000,
,,,-0.00000263200,5.80000,
,,,-0.00000262800,5.80000,
,,,-0.00000262400,5.80000,
,,,-0.00000262000,6.00000,
,,,-0.00000261600,6.00000,
,,,-0.00000261200,5.80000,
,,,-0.00000260800,5.80000,
,,,-0.00000260400,6.00000,
,,,-0.00000260000,6.00000,
,,,-0.00000259600,6.00000,
,,,-0.00000259200,5.80000,
,,,-0.00000258800,5.80000,
,,,-0.00000258400,6.00000,
,,,-0.00000258000,6.00000,
,,,-0.00000257600,5.80000,
,,,-0.00000257200,5.80000,
,,,-0.00000256800,5.80000,
,,,-0.00000256400,5.80000,
,,,-0.00000256000,6.00000,
,,,-0.00000255600,6.00000,
,,,-0.00000255200,5.80000,
,,,-0.00000254800,5.80000,
,,,-0.00000254400,6.00000,
,,,-0.00000254000,6.00000,
,,,-0.00000253600,6.00000,
,,,-0.00000253200,5.80000,
,,,-0.00000252800,5.80000,
,,,-0.00000252400,5.80000,
,,,-0.00000252000,6.00000,
,,,-0.00000251600,6.00000,
,,,-0.00000251200,5.80000,
,,,-0.00000250800,5.80000,
,,,-0.00000250400,5.80000,
,,,-0.00000250000,6.00000,
,,,-0.00000249600,6.00000,
,,,-0.00000249200,6.00000,
,,,-0.00000248800,5.80000,
,,,-0.00000248400,5.80000,
,,,-0.00000248000,5.80000,
,,,-0.00000247600,5.80000,
,,,-0.00000247200,5.80000,
,,,-0.00000246800,5.80000,
,,,-0.00000246400,5.80000,
,,,-0.00000246000,5.80000,
,,,-0.00000245600,5.80000,
